科目コード,部門コード,PJコード,4月,5月,6月,7月,8月,9月,10月,11月,12月,1月,2月,3月
4100,S02,PJ002,753247,943477,181672,164725,825976,180116,449106,215601,864601,319432,388374,918825
1000,D01,PJ003,137825,350945,899189,540156,147185,917953,317166,199005,339102,282681,437483,635721
2000,D02,,222459,447744,367669,956689,536750,658454,748416,642642,594685,438516,448088,769472
3000,S01,PJ001,250797,693389,838326,662370,384622,320819,632749,911327,479536,965432,138482,738823
4000,S02,PJ002,226237,101555,532991,652830,569553,237350,894318,121545,408316,269797,543755,142465
4100,D01,PJ003,356180,100083,492378,962792,887995,668729,467931,108877,746084,949474,403806,758243
1000,D02,,704031,128452,599516,833972,471339,542296,274143,255510,764426,693024,212033,436576
2000,S01,PJ001,995863,905208,653049,295175,399549,916940,519891,103984,168352,701773,110769,370760
3000,S02,PJ002,870590,207122,841198,718970,349687,470494,754690,158082,406334,236678,706738,183284
4000,D01,PJ003,873637,945300,390196,254708,929658,151442,997537,206890,471711,958021,364352,233359
4100,D02,,140204,414015,818015,460474,366492,829379,375225,937573,241674,811323,761939,282964
1000,S01,PJ001,789504,363323,574503,141022,690040,376041,227482,287848,684761,785825,496169,981567
2000,S02,PJ002,789458,746037,916300,207516,505173,501936,945611,905718,757276,825947,727889,423267
3000,D01,PJ003,643400,818523,682736,557548,400492,963547,102665,349371,279316,768367,684992,977023
4000,D02,,350657,808380,200851,290033,723376,829126,847396,317688,400915,154467,808709,566986
4100,S01,PJ001,895549,881231,361302,968843,422364,910161,114314,253436,578006,146882,880366,909603
1000,S02,PJ002,571807,672107,762716,603295,749036,193475,211449,630685,779543,752880,760850,831009
2000,D01,PJ003,433170,595368,693775,766382,295335,663511,595761,358409,431631,484799,970804,189790
3000,D02,,208721,445302,853795,316653,901640,708678,971636,418279,668764,670027,103477,919047
4000,S01,PJ001,547124,518892,589714,375180,299914,789466,909627,394448,598109,726310,499468,647060
4100,S02,PJ002,866939,497125,234625,225183,709858,958983,216624,791169,114615,322454,294130,296714
1000,D01,PJ003,850228,735306,860965,218695,956263,276984,820530,989302,294214,906721,593202,663666
2000,D02,,915072,491499,208671,855824,888973,976651,343106,785281,711492,326732,906884,125729
3000,S01,PJ001,430343,258170,290055,393744,692119,157789,185324,758680,301165,927404,244249,728162
4000,S02,PJ002,896241,686050,960740,487767,461441,352638,978033,144787,671791,121829,940131,276661
4100,D01,PJ003,875260,276441,434682,766718,197748,563507,937837,462517,740787,868354,789651,374197
1000,D02,,652583,547021,943563,215698,773386,835783,313238,692674,430017,175238,216665,121343
2000,S01,PJ001,214720,469562,199050,129061,151457,934315,883492,553718,429255,634946,766758,523171
3000,S02,PJ002,552252,795037,346860,529483,693552,420184,411021,324219,578792,200388,302160,161952
4000,D01,PJ003,316833,546266,976860,653748,432738,237361,957468,299905,926636,491218,914265,214432
4100,D02,,595221,333141,947329,323058,789880,380883,470134,684449,280441,379907,593958,838255
1000,S01,PJ001,383781,718527,335562,443750,211995,457923,611479,275457,292808,283173,461975,274771
2000,S02,PJ002,921282,641623,866042,791045,763387,870823,584614,697021,961974,787408,865979,915354
3000,D01,PJ003,160517,511535,963668,775388,129658,384647,879421,725781,538071,447042,906887,147934
4000,D02,,276566,436713,918379,315571,976416,205957,250854,905653,499835,753174,487026,744263
4100,S01,PJ001,806413,539375,507215,425216,192873,298999,952998,243042,363482,920800,440898,754136
1000,S02,PJ002,899091,952024,995287,141758,529605,710861,579748,462066,786337,949098,451096,469156
2000,D01,PJ003,264869,983207,308437,182305,179629,707919,436867,644140,677765,610718,287013,911034
3000,D02,,675271,958852,336358,277734,156322,218768,639362,903793,460136,468664,253198,352568
4000,S01,PJ001,781841,741452,211262,132174,132712,181878,832251,640220,665495,256274,968055,797408
4100,S02,PJ002,738922,106606,880759,226984,699660,473191,524256,326268,592734,714213,992465,439814
1000,D01,PJ003,698266,676129,655896,550232,780503,207305,738195,902424,172539,257532,101018,821677
2000,D02,,609088,781145,798587,668766,988722,703895,943103,338480,448950,715311,788630,703080
3000,S01,PJ001,610755,517594,227704,153294,858521,437797,922895,293332,198004,270422,466501,306628
4000,S02,PJ002,204046,270961,166160,252271,133909,671618,301177,507952,304398,818869,822908,829325
4100,D01,PJ003,222812,104353,835896,848568,790311,118442,542080,541853,557143,608771,661065,453991
1000,D02,,318855,536101,995559,478535,993642,546823,269447,128916,746502,323225,591915,687597
2000,S01,PJ001,334354,149425,494442,839147,277792,782128,427962,978749,481239,712042,526678,220380
3000,S02,PJ002,529347,415199,175787,203705,352264,754853,816532,633253,419829,592018,629943,571772
4000,D01,PJ003,563746,773797,538388,893565,191472,449804,398823,155616,927435,534791,451394,285832
4100,D02,,276864,520088,418555,200747,997371,509964,266687,506339,379578,857902,414075,592914
1000,S01,PJ001,936086,493567,847785,445576,100346,932942,156093,626999,786755,351591,652807,851639
2000,S02,PJ002,369883,700102,255168,160708,879676,264992,366423,825810,162303,714669,337427,596450
3000,D01,PJ003,443068,571501,824476,121283,355181,592401,377743,561308,569765,365581,616670,865527
4000,D02,,768475,179797,737463,878199,943455,236771,542792,751357,600745,459874,565417,477558
4100,S01,PJ001,272095,392139,995185,907486,181426,710284,716621,800512,788193,270238,453760,791853
1000,S02,PJ002,363851,728489,402814,917295,920292,150589,864157,319892,143789,153274,385660,339381
2000,D01,PJ003,824133,699132,967394,320429,760729,101255,458009,263786,824913,861396,842082,881553
3000,D02,,333978,708485,885998,141588,315009,623723,156791,465730,350072,976942,446660,268115
4000,S01,PJ001,431807,133425,768712,164027,117847,208379,476881,688059,550700,208374,303031,546907
4100,S02,PJ002,772107,797396,258858,824667,469316,264574,999411,356075,976864,180570,614434,900377
1000,D01,PJ003,351096,908571,333474,338382,659683,941887,996446,791411,456845,564608,983744,326220
2000,D02,,821978,556991,838001,118759,695540,908029,269176,497357,161991,694714,793686,884058
3000,S01,PJ001,276073,221916,432083,281239,985453,924799,269031,858450,915544,587480,355966,691755
4000,S02,PJ002,924666,908932,887266,169103,894429,670802,143258,114221,934910,107263,190954,816147
4100,D01,PJ003,805068,238572,604543,292543,109280,266647,431527,642343,925918,376350,333238,908856
1000,D02,,176641,722701,918386,661264,345814,484831,151954,764018,165060,138876,158598,980346
2000,S01,PJ001,306358,642612,416222,299295,997692,389336,604520,457294,478297,568456,949259,230825
3000,S02,PJ002,272484,210950,344901,829357,585878,896105,269758,297376,553058,981077,971590,376480
4000,D01,PJ003,842992,190587,726043,375524,984665,814967,792315,759864,329213,599873,566986,303475
4100,D02,,122066,822199,402297,171175,338467,729500,733398,805599,509577,762852,863385,406743
1000,S01,PJ001,154729,349395,769399,452704,872469,931290,832379,549380,973068,498429,388313,471705
2000,S02,PJ002,738776,344432,872059,548077,337577,107178,984549,532499,638380,240167,403827,255030
3000,D01,PJ003,350326,231052,615120,564735,735094,873165,666282,652225,840334,209168,277062,590529
4000,D02,,627836,520925,523337,118642,953719,666964,448790,276280,869907,284357,289896,138718
4100,S01,PJ001,989221,459750,565242,895758,438741,795459,146784,276265,432911,362902,176580,921157
1000,S02,PJ002,313709,512258,894506,178494,289657,402202,871602,859731,334820,240379,944128,891455
2000,D01,PJ003,626710,482908,543394,733319,949410,865174,548145,695187,920240,494847,261090,954630
3000,D02,,329322,633673,663214,841392,348640,873208,799011,168086,549441,644019,852694,535251
4000,S01,PJ001,515113,573490,185013,241097,444154,514541,171075,602874,823939,117755,908377,372698
4100,S02,PJ002,372202,349533,602956,517655,101839,311624,432852,528275,586880,488508,791830,166638
1000,D01,PJ003,288337,596396,192124,204656,214139,116716,903949,414015,521345,303715,770696,609559
2000,D02,,803971,610407,401097,583409,561635,930285,615123,747425,141136,202712,553167,240916
3000,S01,PJ001,972969,505057,322262,676218,999692,912457,422799,658380,709270,194260,809599,866441
4000,S02,PJ002,816489,398822,386015,587070,305941,204953,257764,204304,340610,217414,231999,662040
4100,D01,PJ003,670746,936577,922624,104556,427306,448294,806255,146551,814711,682199,339661,988861
1000,D02,,694621,775644,949604,432719,371574,245769,243601,270584,100778,922213,562802,339859
2000,S01,PJ001,518877,668625,535437,239185,959312,747043,535737,639196,742499,378986,111101,755879
3000,S02,PJ002,415949,933974,585650,611105,409877,286780,375103,346674,752742,604203,109583,562022
4000,D01,PJ003,161244,155799,144327,755531,757411,794962,682011,780257,426280,797392,520759,161466
4100,D02,,489737,728369,496265,752590,406317,494748,805604,768944,713564,363200,545840,285401
1000,S01,PJ001,178214,854316,422996,463057,709573,511385,335283,535134,861160,922224,593906,528059
2000,S02,PJ002,521869,310002,591662,213770,991200,374815,957780,356831,453700,592036,675015,107930
3000,D01,PJ003,808813,293283,378833,495930,939617,458557,455978,283951,106270,509888,348947,331197
4000,D02,,910301,588834,875470,170177,340329,433019,812180,777660,545442,712323,447948,397647
4100,S01,PJ001,976115,569111,773069,875199,417001,479733,371782,306775,465094,241788,191188,195078
1000,S02,PJ002,591783,813398,446553,872401,722928,114448,205764,491524,484408,383507,969566,566879
2000,D01,PJ003,479766,632738,338595,557549,726025,578281,193000,312292,536837,905019,783195,267467
3000,D02,,286377,490289,984892,718505,260238,903051,607797,566669,684712,933335,564927,315057
4000,S01,PJ001,114249,274859,856120,393595,364641,867132,487969,141212,624053,909926,868232,162474
4100,S02,PJ002,798261,657561,834970,358178,222731,210976,729388,190540,381952,289900,613068,597573
1000,D01,PJ003,741854,432874,839345,318756,789200,425900,206948,583454,702123,668566,166063,531942
2000,D02,,443075,281291,499566,799665,975259,732490,171735,184502,270818,112398,244963,229360
3000,S01,PJ001,809530,875336,261587,343001,400704,652242,422817,308692,390042,784635,658797,113096
4000,S02,PJ002,116544,350926,410817,595848,298293,616516,957713,199798,873290,489293,453852,379183
4100,D01,PJ003,101500,936877,943484,695042,173860,799858,641085,917613,355981,333756,723117,280300
1000,D02,,264913,839827,203767,215328,474538,953113,168098,643610,214342,279532,308351,814889
2000,S01,PJ001,987067,494211,944523,315088,848126,656293,279969,510432,675737,169582,568460,370147
3000,S02,PJ002,452526,605876,905507,114583,942884,590928,383031,921759,421796,851738,816837,598519
4000,D01,PJ003,645037,821206,583169,420809,274815,614982,716582,208361,547200,900551,175075,259302
4100,D02,,411087,940833,831987,199914,485911,376951,837141,925458,941911,287041,823661,992137
1000,S01,PJ001,389737,398800,621661,635015,296111,974606,714859,803264,183360,827283,140394,279506
2000,S02,PJ002,217832,694307,132198,922134,679762,626929,183951,574097,432250,124608,911560,287370
